images,pilltype_id,label_code_id,prod_code_id,is_ref,is_front,is_new,image_path,label_full,label
1030.jpg,00093-7168-98_4229A13D,93,7168,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1030.jpg,00093-7168-98_4229A13D,00093-7168-98
1031.jpg,00555-0633-02_72303931,555,633,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1031.jpg,00555-0633-02_72303931,00555-0633-02
1033.jpg,63304-0553-05_D015681B,63304,553,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1033.jpg,63304-0553-05_D015681B,63304-0553-05
1036.jpg,00172-4096-60_B726DBE6,172,4096,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1036.jpg,00172-4096-60_B726DBE6,00172-4096-60
1038.jpg,00093-0928-06_6926B4E5,93,928,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1038.jpg,00093-0928-06_6926B4E5,00093-0928-06
1039.jpg,00093-4069-01_E126F0B7,93,4069,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1039.jpg,00093-4069-01_E126F0B7,00093-4069-01
104.jpg,25010-0205-15_E61FF35F,25010,205,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/104.jpg,25010-0205-15_E61FF35F,25010-0205-15
1040.jpg,00781-1452-01_D720EBF7,781,1452,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1040.jpg,00781-1452-01_D720EBF7,00781-1452-01
1041.jpg,00781-5185-01_8323C1DE,781,5185,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1041.jpg,00781-5185-01_8323C1DE,00781-5185-01
1043.jpg,00093-3195-01_BF295F9A,93,3195,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1043.jpg,00093-3195-01_BF295F9A,00093-3195-01
1047.jpg,00378-1811-01_5123A8BD,378,1811,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1047.jpg,00378-1811-01_5123A8BD,00378-1811-01
1048.jpg,00093-3160-06_FB297DFB,93,3160,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1048.jpg,00093-3160-06_FB297DFB,00093-3160-06
1049.jpg,68180-0479-01_B4215A0A,68180,479,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1049.jpg,68180-0479-01_B4215A0A,68180-0479-01
105.jpg,00093-7425-56_D727EBFF,93,7425,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/105.jpg,00093-7425-56_D727EBFF,00093-7425-56
1050.jpg,00378-0505-01_652332F9,378,505,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1050.jpg,00378-0505-01_652332F9,00378-0505-01
1053.jpg,00172-4097-60_532329F9,172,4097,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1053.jpg,00172-4097-60_532329F9,00172-4097-60
1054.jpg,67253-0902-10_AC15561A,67253,902,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1054.jpg,67253-0902-10_AC15561A,67253-0902-10
1055.jpg,65862-0156-30_1E238F6C,65862,156,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1055.jpg,65862-0156-30_1E238F6C,65862-0156-30
1056.jpg,51285-0538-02_9F304FB2,51285,538,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1056.jpg,51285-0538-02_9F304FB2,51285-0538-02
1057.jpg,00093-1015-01_A929D4FE,93,1015,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1057.jpg,00093-1015-01_A929D4FE,00093-1015-01
1058.jpg,00093-7287-89_D22FE95F,93,7287,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1058.jpg,00093-7287-89_D22FE95F,00093-7287-89
1059.jpg,00093-2275-34_D82D6C1B,93,2275,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1059.jpg,00093-2275-34_D82D6C1B,00093-2275-34
106.jpg,00093-7242-06_76293B69,93,7242,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/106.jpg,00093-7242-06_76293B69,00093-7242-06
1060.jpg,00093-7292-53_781B3C09,93,7292,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1060.jpg,00093-7292-53_781B3C09,00093-7292-53
1061.jpg,42043-0190-04_6D1DB6BD,42043,190,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1061.jpg,42043-0190-04_6D1DB6BD,42043-0190-04
1062.jpg,00074-6594-90_AB1D55FA,74,6594,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1062.jpg,00074-6594-90_AB1D55FA,00074-6594-90
1064.jpg,00093-7386-56_092F84AC,93,7386,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1064.jpg,00093-7386-56_092F84AC,00093-7386-56
1066.jpg,00007-4882-13_E118F097,7,4882,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1066.jpg,00007-4882-13_E118F097,00007-4882-13
1068.jpg,60505-1308-01_4F21A7DD,60505,1308,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1068.jpg,60505-1308-01_4F21A7DD,60505-1308-01
107.jpg,68180-0479-01_B4215A0A,68180,479,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/107.jpg,68180-0479-01_B4215A0A,68180-0479-01
1072.jpg,00555-0869-02_B32F59EA,555,869,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1072.jpg,00555-0869-02_B32F59EA,00555-0869-02
1073.jpg,00093-5290-56_21281080,93,5290,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1073.jpg,00093-5290-56_21281080,00093-5290-56
1074.jpg,50111-0852-01_7B303DB1,50111,852,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1074.jpg,50111-0852-01_7B303DB1,50111-0852-01
1075.jpg,00093-0054-01_7226B965,93,54,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1075.jpg,00093-0054-01_7226B965,00093-0054-01
1076.jpg,62037-0577-01_10210878,62037,577,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1076.jpg,62037-0577-01_10210878,62037-0577-01
1077.jpg,67767-0133-60_26269354,67767,133,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1077.jpg,67767-0133-60_26269354,67767-0133-60
1078.jpg,00378-2625-01_CE23E72F,378,2625,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1078.jpg,00378-2625-01_CE23E72F,00378-2625-01
108.jpg,00093-7180-01_482BA47D,93,7180,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/108.jpg,00093-7180-01_482BA47D,00093-7180-01
1080.jpg,00093-8035-01_DC266E63,93,8035,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1080.jpg,00093-8035-01_DC266E63,00093-8035-01
1081.jpg,00555-0285-02_F52B7AAB,555,285,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1081.jpg,00555-0285-02_F52B7AAB,00555-0285-02
1082.jpg,00603-2957-21_46232309,603,2957,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1082.jpg,00603-2957-21_46232309,00603-2957-21
1083.jpg,00093-0220-56_37299BCC,93,220,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1083.jpg,00093-0220-56_37299BCC,00093-0220-56
1084.jpg,00093-2932-01_DA296D4B,93,2932,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1084.jpg,00093-2932-01_DA296D4B,00093-2932-01
1085.jpg,59762-2003-01_EC1DF61F,59762,2003,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1085.jpg,59762-2003-01_EC1DF61F,59762-2003-01
1086.jpg,00832-1025-00_73233989,832,1025,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1086.jpg,00832-1025-00_73233989,00832-1025-00
1088.jpg,00093-9774-01_F922FC97,93,9774,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1088.jpg,00093-9774-01_F922FC97,00093-9774-01
109.jpg,63010-0027-70_141B8A3C,63010,27,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/109.jpg,63010-0027-70_141B8A3C,63010-0027-70
1090.jpg,00054-4728-25_8723C3EE,54,4728,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1090.jpg,00054-4728-25_8723C3EE,00054-4728-25
1094.jpg,00054-2526-25_961C4B22,54,2526,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1094.jpg,00054-2526-25_961C4B22,00054-2526-25
1095.jpg,59762-5021-01_19230CB8,59762,5021,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1095.jpg,59762-5021-01_19230CB8,59762-5021-01
1096.jpg,00093-7181-01_2D2B96CC,93,7181,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1096.jpg,00093-7181-01_2D2B96CC,00093-7181-01
1097.jpg,60505-2580-09_9B1DCDFE,60505,2580,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1097.jpg,60505-2580-09_9B1DCDFE,60505-2580-09
1099.jpg,00093-7242-06_76293B69,93,7242,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1099.jpg,00093-7242-06_76293B69,00093-7242-06
11.jpg,00093-5207-01_782BBC1D,93,5207,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/11.jpg,00093-5207-01_782BBC1D,00093-5207-01
110.jpg,00093-1060-01_DC29EE4F,93,1060,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/110.jpg,00093-1060-01_DC29EE4F,00093-1060-01
1100.jpg,00093-1052-01_AE29D76E,93,1052,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1100.jpg,00093-1052-01_AE29D76E,00093-1052-01
1102.jpg,00591-0406-01_5C21AE6D,591,406,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1102.jpg,00591-0406-01_5C21AE6D,00591-0406-01
1103.jpg,00093-0012-98_4D29A6AD,93,12,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1103.jpg,00093-0012-98_4D29A6AD,00093-0012-98
1105.jpg,00228-2803-11_34269A44,228,2803,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1105.jpg,00228-2803-11_34269A44,00228-2803-11
1106.jpg,23155-0062-01_D91D6CAB,23155,62,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1106.jpg,23155-0062-01_D91D6CAB,23155-0062-01
1108.jpg,00093-7325-01_852D42DA,93,7325,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1108.jpg,00093-7325-01_852D42DA,00093-7325-01
1109.jpg,00781-2054-01_A30ED1E6,781,2054,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1109.jpg,00781-2054-01_A30ED1E6,00781-2054-01
111.jpg,00023-9350-07_D4196A7B,23,9350,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/111.jpg,00023-9350-07_D4196A7B,00023-9350-07
1110.jpg,65862-0144-01_5E212F49,65862,144,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1110.jpg,65862-0144-01_5E212F49,65862-0144-01
1111.jpg,63304-0579-01_5D26AEB5,63304,579,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1111.jpg,63304-0579-01_5D26AEB5,63304-0579-01
1112.jpg,00093-2047-56_EA29752B,93,2047,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1112.jpg,00093-2047-56_EA29752B,00093-2047-56
1114.jpg,00093-5502-01_742DBA1D,93,5502,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1114.jpg,00093-5502-01_742DBA1D,00093-5502-01
1117.jpg,99207-0461-30_EF1C7793,99207,461,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1117.jpg,99207-0461-30_EF1C7793,99207-0461-30
1118.jpg,51285-0091-58_8F2DC79E,51285,91,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1118.jpg,51285-0091-58_8F2DC79E,51285-0091-58
112.jpg,50111-0434-01_F22FF97F,50111,434,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/112.jpg,50111-0434-01_F22FF97F,50111-0434-01
1120.jpg,00173-0758-60_E019704B,173,758,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1120.jpg,00173-0758-60_E019704B,00173-0758-60
1121.jpg,00093-4405-01_072D838C,93,4405,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1121.jpg,00093-4405-01_072D838C,00093-4405-01
1122.jpg,00093-5035-01_472DA39D,93,5035,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1122.jpg,00093-5035-01_472DA39D,00093-5035-01
1124.jpg,00093-1077-01_60293059,93,1077,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1124.jpg,00093-1077-01_60293059,00093-1077-01
1126.jpg,00093-3171-01_10268814,93,3171,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1126.jpg,00093-3171-01_10268814,00093-3171-01
1127.jpg,50111-0483-01_333019E0,50111,483,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1127.jpg,50111-0483-01_333019E0,50111-0483-01
1128.jpg,00093-7493-06_DB2FEDDF,93,7493,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1128.jpg,00093-7493-06_DB2FEDDF,00093-7493-06
1129.jpg,00172-4364-60_66243311,172,4364,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1129.jpg,00172-4364-60_66243311,00172-4364-60
113.jpg,65862-0064-01_252392CC,65862,64,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/113.jpg,65862-0064-01_252392CC,65862-0064-01
1130.jpg,00093-7485-20_C73063F3,93,7485,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1130.jpg,00093-7485-20_C73063F3,00093-7485-20
1131.jpg,00093-5353-01_03270198,93,5353,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1131.jpg,00093-5353-01_03270198,00093-5353-01
1132.jpg,00378-2625-01_CE23E72F,378,2625,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1132.jpg,00378-2625-01_CE23E72F,00378-2625-01
1133.jpg,53489-0105-01_3D269EF4,53489,105,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1133.jpg,53489-0105-01_3D269EF4,53489-0105-01
1134.jpg,29033-0020-12_BE135F6A,29033,20,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1134.jpg,29033-0020-12_BE135F6A,29033-0020-12
1135.jpg,50111-0470-01_FB2FFDFF,50111,470,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1135.jpg,50111-0470-01_FB2FFDFF,50111-0470-01
1136.jpg,00093-2203-01_CE27E77F,93,2203,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1136.jpg,00093-2203-01_CE27E77F,00093-2203-01
1138.jpg,00378-1823-01_D723EBAF,378,1823,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1138.jpg,00378-1823-01_D723EBAF,00378-1823-01
1139.jpg,00093-1024-06_8E29C77E,93,1024,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1139.jpg,00093-1024-06_8E29C77E,00093-1024-06
114.jpg,50111-0471-01_18300C00,50111,471,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/114.jpg,50111-0471-01_18300C00,50111-0471-01
1141.jpg,00004-0800-85_491E24C1,4,800,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1141.jpg,00004-0800-85_491E24C1,00004-0800-85
1143.jpg,62559-1507-00_8415C24E,62559,1507,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1143.jpg,62559-1507-00_8415C24E,62559-1507-00
1144.jpg,00555-1021-01_D52B6AEB,555,1021,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1144.jpg,00555-1021-01_D52B6AEB,00555-1021-01
1145.jpg,00555-9010-58_3B2F9D9C,555,9010,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1145.jpg,00555-9010-58_3B2F9D9C,00555-9010-58
1149.jpg,00093-7168-98_4229A13D,93,7168,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1149.jpg,00093-7168-98_4229A13D,00093-7168-98
1153.jpg,00172-4365-60_1C280E70,172,4365,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1153.jpg,00172-4365-60_1C280E70,00172-4365-60
1154.jpg,00093-0576-06_DB23EDBF,93,576,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1154.jpg,00093-0576-06_DB23EDBF,00093-0576-06
1155.jpg,65162-0212-11_AD1C56C2,65162,212,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1155.jpg,65162-0212-11_AD1C56C2,65162-0212-11
1156.jpg,00172-2083-60_B122D8F6,172,2083,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1156.jpg,00172-2083-60_B122D8F6,00172-2083-60
1157.jpg,00591-2473-19_F11D78AB,591,2473,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1157.jpg,00591-2473-19_F11D78AB,00591-2473-19
1159.jpg,00093-7304-65_712F3889,93,7304,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1159.jpg,00093-7304-65_712F3889,00093-7304-65
116.jpg,67767-0133-60_26269354,67767,133,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/116.jpg,67767-0133-60_26269354,67767-0133-60
1161.jpg,00378-0232-01_86204302,378,232,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1161.jpg,00378-0232-01_86204302,00378-0232-01
1163.jpg,65862-0050-30_012180AC,65862,50,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1163.jpg,65862-0050-30_012180AC,65862-0050-30
1164.jpg,00093-7178-01_D329E9CF,93,7178,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1164.jpg,00093-7178-01_D329E9CF,00093-7178-01
1165.jpg,00093-7670-01_8327C19E,93,7670,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1165.jpg,00093-7670-01_8327C19E,00093-7670-01
1166.jpg,00173-0758-60_E019704B,173,758,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1166.jpg,00173-0758-60_E019704B,00173-0758-60
1167.jpg,00093-1048-98_C029E06F,93,1048,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1167.jpg,00093-1048-98_C029E06F,00093-1048-98
1168.jpg,00093-7338-01_642D3229,93,7338,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1168.jpg,00093-7338-01_642D3229,00093-7338-01
1169.jpg,00555-1021-01_D52B6AEB,555,1021,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1169.jpg,00555-1021-01_D52B6AEB,00555-1021-01
1170.jpg,00172-2907-60_AA26D556,172,2907,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1170.jpg,00172-2907-60_AA26D556,00172-2907-60
1172.jpg,00378-2180-01_8F23479A,378,2180,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1172.jpg,00378-2180-01_8F23479A,00378-2180-01
1173.jpg,00093-7369-56_AD2FD6CE,93,7369,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1173.jpg,00093-7369-56_AD2FD6CE,00093-7369-56
1174.jpg,00093-5171-20_4C2DA60D,93,5171,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1174.jpg,00093-5171-20_4C2DA60D,00093-5171-20
1175.jpg,53489-0384-01_4D202681,53489,384,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1175.jpg,53489-0384-01_4D202681,53489-0384-01
1176.jpg,00054-4182-25_77233BF9,54,4182,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1176.jpg,00054-4182-25_77233BF9,00054-4182-25
1180.jpg,00777-3105-02_061C8364,777,3105,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1180.jpg,00777-3105-02_061C8364,00777-3105-02
1181.jpg,00093-7206-56_9F2FCFDE,93,7206,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1181.jpg,00093-7206-56_9F2FCFDE,00093-7206-56
1182.jpg,65580-0304-03_011280A4,65580,304,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1182.jpg,65580-0304-03_011280A4,65580-0304-03
1183.jpg,13811-0583-30_911DC8BE,13811,583,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1183.jpg,13811-0583-30_911DC8BE,13811-0583-30
1185.jpg,00597-0046-60_C01DE05F,597,46,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1185.jpg,00597-0046-60_C01DE05F,00597-0046-60
1186.jpg,65862-0537-50_3A1B9D5C,65862,537,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1186.jpg,65862-0537-50_3A1B9D5C,65862-0537-50
1187.jpg,00378-1105-01_D822EC47,378,1105,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1187.jpg,00378-1105-01_D822EC47,00378-1105-01
1188.jpg,00378-1803-01_2A23950C,378,1803,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1188.jpg,00378-1803-01_2A23950C,00378-1803-01
119.jpg,60505-1308-01_4F21A7DD,60505,1308,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/119.jpg,60505-1308-01_4F21A7DD,60505-1308-01
1190.jpg,00007-4882-13_E118F097,7,4882,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1190.jpg,00007-4882-13_E118F097,00007-4882-13
1191.jpg,00093-5112-98_4E2D2719,93,5112,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1191.jpg,00093-5112-98_4E2D2719,00093-5112-98
1194.jpg,00093-3125-01_DD26EEA7,93,3125,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/1194.jpg,00093-3125-01_DD26EEA7,00093-3125-01
1195.jpg,39822-0205-01_7F1C3FB1,39822,205,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1195.jpg,39822-0205-01_7F1C3FB1,39822-0205-01
1196.jpg,00093-7243-06_7B293DD9,93,7243,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1196.jpg,00093-7243-06_7B293DD9,00093-7243-06
1197.jpg,49884-0401-91_421CA105,49884,401,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1197.jpg,49884-0401-91_421CA105,49884-0401-91
1199.jpg,00093-4356-01_0E210728,93,4356,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1199.jpg,00093-4356-01_0E210728,00093-4356-01
12.jpg,00093-7426-56_DC27EE6F,93,7426,FALSE,TRUE,FALSE,fcn_mix_weight/dc_224/12.jpg,00093-7426-56_DC27EE6F,00093-7426-56
120.jpg,00781-2020-05_D812EC47,781,2020,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/120.jpg,00781-2020-05_D812EC47,00781-2020-05
1200.jpg,00093-3147-01_24231258,93,3147,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1200.jpg,00093-3147-01_24231258,00093-3147-01
1202.jpg,50111-0852-01_7B303DB1,50111,852,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1202.jpg,50111-0852-01_7B303DB1,50111-0852-01
1203.jpg,00555-0285-02_F52B7AAB,555,285,FALSE,FALSE,FALSE,fcn_mix_weight/dc_224/1203.jpg,00555-0285-02_F52B7AAB,00555-0285-02
